,5134 GUINEVERE,SAN ANTONIO,TX,78218
,13547 HARVEST BEND,SAN ANTONIO,TX,78217
,5910 HILLMAN,SAN ANTONIO,TX,78218
,9514 HILLSBORO,SAN ANTONIO,TX,78217
,4279 HILTON HEAD,SAN ANTONIO,TX,78217
,4427 HILTON HEAD,SAN ANTONIO,TX,78217
,3715 HUNDRED OAKS,SAN ANTONIO,TX,78217
,16535 HUNTING GLEN,SAN ANTONIO,TX,78247
,102 HUXLEY,SAN ANTONIO,TX,78218
,10819 INDIGO CRK,SAN ANTONIO,TX,78239
,17031 IRONGATE RAIL,SAN ANTONIO,TX,78247
,12402 JACOBS POND,SAN ANTONIO,TX,78253
,14606 JONES MALTSBERGER,SAN ANTONIO,TX,78247
,12502 KAVA KNOLL,SAN ANTONIO,TX,78253
,5710 KISSING OAK,SAN ANTONIO,TX,78247
,11826 KNOBSBY,SAN ANTONIO,TX,78253
,2746 KNOLL TREE,SAN ANTONIO,TX,78247
,10970 LAKE PATH,SAN ANTONIO,TX,78217
,12422 LAKE WHITNEY,SAN ANTONIO,TX,78253
,202 LANARK,SAN ANTONIO,TX,78218
,506 LANARK,SAN ANTONIO,TX,78218
,4162 LANDMARK,SAN ANTONIO,TX,78218
,10822 LAZY OAKS,SAN ANTONIO,TX,78217
,10826 LAZY OAKS,SAN ANTONIO,TX,78217
,15639 LEGEND SPRINGS,SAN ANTONIO,TX,78247
,4419 LONGVALE,SAN ANTONIO,TX,78217
,6722 LUCERNE,SAN ANTONIO,TX,78218
,10502 LUDLOW,SAN ANTONIO,TX,78239
,6134 MACKENZIE,SAN ANTONIO,TX,78247
,9235 MARYMONT PARK,SAN ANTONIO,TX,78217
,9245 MARYMONT PARK,SAN ANTONIO,TX,78217
,3854 MAVERICK CREEK,SAN ANTONIO,TX,78247
,10811 MEADOW,SAN ANTONIO,TX,78239
,12643 MEXICAN PLUM,SAN ANTONIO,TX,78253
,140 MIAMI,SAN ANTONIO,TX,78218
,5898 MIDCROWN,SAN ANTONIO,TX,78218
,12718 MIDDLE,SAN ANTONIO,TX,78217
,119 MIDDLEBURY,SAN ANTONIO,TX,78217
,4414 MOANA,SAN ANTONIO,TX,78218
,3243 NACOGDOCHES,SAN ANTONIO,TX,78217
,11906 NACOGDOCHES,SAN ANTONIO,TX,78217
,11911 NACOGDOCHES,SAN ANTONIO,TX,78217
